                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7529,                 4.6417,                 1.9247,                0.00247,                0.56447,                0.02081,                0.01066,                 1.5284,                 4.2011,                 1.6701,             0.00010908,             0.00010908,             0.00010908
                      2,                 1.5001,                 4.1204,                 1.6224,                0.00424,                0.89469,                0.23461,                0.14097,                 1.1196,                 3.7587,                 1.2632,              0.0002265,              0.0002265,              0.0002265
                      3,                 1.4205,                 3.3737,                 1.5378,                0.00995,                0.81476,                0.25514,                0.14506,                 1.4278,                 3.6269,                 1.4873,             0.00034314,             0.00034314,             0.00034314
                      4,                 1.4079,                 2.9769,                 1.5123,                0.90335,                0.09027,                0.39925,                0.22451,                 1.4641,                 3.2473,                 1.4545,               0.000459,               0.000459,               0.000459
                      5,                 1.3817,                 2.7586,                 1.4531,                0.77672,                0.09243,                0.29704,                0.15221,                 1.5926,                 3.4018,                  1.532,             0.00057408,             0.00057408,             0.00057408
                      6,                 1.3712,                 2.6538,                 1.4693,                0.57753,                0.20072,                0.37156,                0.19835,                 1.5987,                 3.1804,                 1.6662,             0.00068838,             0.00068838,             0.00068838
                      7,                 1.3975,                 2.5515,                 1.4686,                0.52931,                0.39545,                0.41629,                0.22311,                 1.5685,                 2.8651,                  1.684,              0.0008019,              0.0008019,              0.0008019
                      8,                 1.3901,                 2.4068,                 1.4328,                0.55411,                0.39923,                0.43691,                0.24771,                 1.7871,                 2.9543,                  1.852,               0.000888,               0.000888,               0.000888
                      9,                 1.3726,                 2.2831,                  1.444,                0.60387,                0.28174,                0.35969,                0.18603,                 1.9552,                 3.0784,                 1.8612,               0.000888,               0.000888,               0.000888
                     10,                 1.3898,                 2.1762,                 1.4126,                0.70994,                0.04956,                0.11101,                0.04779,                 3.3238,                 4.0778,                 4.6513,               0.000885,               0.000885,               0.000885
                     11,                 1.3437,                 2.0473,                 1.4243,                0.73459,                0.30055,                0.40686,                0.19877,                  2.179,                 2.9822,                 2.5642,               0.000882,               0.000882,               0.000882
                     12,                 1.3165,                 1.8793,                 1.3913,                0.66471,                0.08298,                0.09291,                 0.0366,                 2.5922,                 4.5078,                 3.0959,               0.000879,               0.000879,               0.000879
